Operation,RouterA,RouterB
ADD_LINK,26855,85995
REMOVE_LINK,85323,39910
REMOVE_LINK,89061,57856
ADD_LINK,31345,81668
REMOVE_LINK,20884,16352
REMOVE_LINK,23909,41665
ADD_LINK,66342,75400
REMOVE_LINK,4507,54902
REMOVE_LINK,18899,63082
REMOVE_LINK,30473,69083
CHECK_CONNECTIVITY,61078,17660
REMOVE_LINK,22528,69150
ADD_LINK,83974,77157
REMOVE_LINK,59914,76699
REMOVE_LINK,39855,31000
CHECK_CONNECTIVITY,40937,49087
ADD_LINK,48248,59386
ADD_LINK,62393,12333
CHECK_CONNECTIVITY,22192,68735
CHECK_CONNECTIVITY,26429,810
CHECK_CONNECTIVITY,14522,66275
ADD_LINK,34127,15896
REMOVE_LINK,81361,25180
ADD_LINK,88660,77789
ADD_LINK,88008,51173
REMOVE_LINK,54470,31355
ADD_LINK,55746,46634
ADD_LINK,6352,13756
REMOVE_LINK,38560,83324
ADD_LINK,70533,43769
REMOVE_LINK,4573,13773
REMOVE_LINK,78345,67765
REMOVE_LINK,17229,21436
ADD_LINK,49818,64503
REMOVE_LINK,32180,14612
CHECK_CONNECTIVITY,48728,53040
ADD_LINK,1766,58665
ADD_LINK,83089,71073
CHECK_CONNECTIVITY,21130,37665
CHECK_CONNECTIVITY,68538,69353
ADD_LINK,13329,43523
REMOVE_LINK,25318,47200
CHECK_CONNECTIVITY,66903,46018
CHECK_CONNECTIVITY,57962,11171
ADD_LINK,60019,70688
CHECK_CONNECTIVITY,64865,20317
CHECK_CONNECTIVITY,53679,86303
REMOVE_LINK,33581,74444
REMOVE_LINK,60373,24129
CHECK_CONNECTIVITY,76228,27422
REMOVE_LINK,47462,75567
REMOVE_LINK,5575,52389
ADD_LINK,36427,27759
CHECK_CONNECTIVITY,18130,35430
REMOVE_LINK,50374,49155
REMOVE_LINK,53766,39517
CHECK_CONNECTIVITY,42234,64159
ADD_LINK,39153,52795
CHECK_CONNECTIVITY,70555,73932
CHECK_CONNECTIVITY,8527,75291
REMOVE_LINK,65476,2472
ADD_LINK,2425,32501
REMOVE_LINK,73692,31408
REMOVE_LINK,23764,23316
ADD_LINK,61071,6216
REMOVE_LINK,33364,22954
REMOVE_LINK,65199,12698
CHECK_CONNECTIVITY,23981,65243
CHECK_CONNECTIVITY,80419,42007
REMOVE_LINK,29649,88579
CHECK_CONNECTIVITY,27882,14525
ADD_LINK,84928,55134
CHECK_CONNECTIVITY,78076,42494
ADD_LINK,53334,82301
CHECK_CONNECTIVITY,79987,86396
ADD_LINK,29640,18175
CHECK_CONNECTIVITY,80059,69388
CHECK_CONNECTIVITY,53581,19697
ADD_LINK,30662,81192
CHECK_CONNECTIVITY,54525,85677
REMOVE_LINK,62968,17527
ADD_LINK,50466,46005
REMOVE_LINK,44482,45604
REMOVE_LINK,48094,49369
REMOVE_LINK,7065,59223
REMOVE_LINK,60622,89432
CHECK_CONNECTIVITY,70135,10589
CHECK_CONNECTIVITY,10,84633
CHECK_CONNECTIVITY,27841,81359
CHECK_CONNECTIVITY,13172,75032
ADD_LINK,62378,14239
CHECK_CONNECTIVITY,17703,39027
ADD_LINK,66861,67954
REMOVE_LINK,64728,69440
REMOVE_LINK,42745,67551
ADD_LINK,65643,74659
CHECK_CONNECTIVITY,55192,49816
REMOVE_LINK,33492,64166
ADD_LINK,16050,53545
ADD_LINK,16765,48558
REMOVE_LINK,69822,49855
ADD_LINK,73838,52233
CHECK_CONNECTIVITY,80674,943
ADD_LINK,42500,23956
REMOVE_LINK,58515,82817
REMOVE_LINK,57522,80973
CHECK_CONNECTIVITY,76591,6922
CHECK_CONNECTIVITY,41637,81744
CHECK_CONNECTIVITY,38934,31799
CHECK_CONNECTIVITY,27289,75263
REMOVE_LINK,47942,7679
REMOVE_LINK,81919,84720
REMOVE_LINK,4672,2763
REMOVE_LINK,48744,13075
REMOVE_LINK,88181,1311
REMOVE_LINK,7829,72977
REMOVE_LINK,5353,46005
CHECK_CONNECTIVITY,76233,21324
ADD_LINK,39887,55541
CHECK_CONNECTIVITY,59129,52152
CHECK_CONNECTIVITY,16224,45697
REMOVE_LINK,21549,54463
ADD_LINK,22944,38498
CHECK_CONNECTIVITY,63878,71933
CHECK_CONNECTIVITY,52286,69853
REMOVE_LINK,19547,44090
REMOVE_LINK,12024,7348
CHECK_CONNECTIVITY,6104,79255
REMOVE_LINK,57691,78398
REMOVE_LINK,79843,36370
ADD_LINK,16219,9864
ADD_LINK,71607,57275
REMOVE_LINK,44392,23628
REMOVE_LINK,45165,70975
ADD_LINK,57433,63411
CHECK_CONNECTIVITY,57193,19785
ADD_LINK,77188,57684
CHECK_CONNECTIVITY,22865,15224
ADD_LINK,3539,69059
CHECK_CONNECTIVITY,35752,4929
REMOVE_LINK,75341,27289
CHECK_CONNECTIVITY,46302,88715
ADD_LINK,2747,37390
CHECK_CONNECTIVITY,2344,27092
CHECK_CONNECTIVITY,79449,962
CHECK_CONNECTIVITY,11698,87115
REMOVE_LINK,85119,4460
CHECK_CONNECTIVITY,32135,34493
REMOVE_LINK,63583,14445
ADD_LINK,52915,65549
REMOVE_LINK,77606,50587
CHECK_CONNECTIVITY,48753,30664
REMOVE_LINK,63840,32675
ADD_LINK,8637,63666
REMOVE_LINK,16782,27886
ADD_LINK,41860,33303
CHECK_CONNECTIVITY,15350,20092
ADD_LINK,4232,9650
REMOVE_LINK,80098,10041
ADD_LINK,11185,13098
CHECK_CONNECTIVITY,58530,30718
CHECK_CONNECTIVITY,77796,7797
REMOVE_LINK,73349,9946
CHECK_CONNECTIVITY,17003,34419
CHECK_CONNECTIVITY,60519,1187
CHECK_CONNECTIVITY,84707,37293
CHECK_CONNECTIVITY,41407,17083
CHECK_CONNECTIVITY,24787,86867
CHECK_CONNECTIVITY,78860,2602
CHECK_CONNECTIVITY,66932,4080
REMOVE_LINK,32974,4358
CHECK_CONNECTIVITY,84868,85899
REMOVE_LINK,75442,55506
ADD_LINK,28061,8129
REMOVE_LINK,58499,23126
REMOVE_LINK,24505,58339
ADD_LINK,81654,76108
ADD_LINK,56667,59312
ADD_LINK,48160,49765
REMOVE_LINK,26037,46454
REMOVE_LINK,63674,38664
ADD_LINK,46214,57305
REMOVE_LINK,78632,47437
REMOVE_LINK,86289,48344
ADD_LINK,68839,19244
REMOVE_LINK,73849,16971
REMOVE_LINK,31200,37324
REMOVE_LINK,43688,64540
ADD_LINK,65641,50203
CHECK_CONNECTIVITY,9188,33844
ADD_LINK,35918,76433
ADD_LINK,85571,79145
REMOVE_LINK,73799,40629
REMOVE_LINK,54724,38
ADD_LINK,68959,29719
REMOVE_LINK,69594,71884
ADD_LINK,29759,53002
REMOVE_LINK,33626,88484
CHECK_CONNECTIVITY,35341,76913
REMOVE_LINK,62643,51310
CHECK_CONNECTIVITY,66602,74172
ADD_LINK,11266,58351
ADD_LINK,69824,88504
ADD_LINK,9671,78108
CHECK_CONNECTIVITY,80755,63365
REMOVE_LINK,21075,45230
ADD_LINK,76207,11712
ADD_LINK,20612,76145
ADD_LINK,23433,65058
REMOVE_LINK,81833,10599
REMOVE_LINK,15072,89563
REMOVE_LINK,53231,17500
REMOVE_LINK,74190,75906
CHECK_CONNECTIVITY,62540,40487
CHECK_CONNECTIVITY,83421,2570
CHECK_CONNECTIVITY,64884,1331
CHECK_CONNECTIVITY,80181,45608
ADD_LINK,56091,33382
ADD_LINK,51860,64649
ADD_LINK,12802,74611
CHECK_CONNECTIVITY,29392,38421
ADD_LINK,21548,44240
ADD_LINK,53071,28576
CHECK_CONNECTIVITY,77568,80285
REMOVE_LINK,36173,42846
REMOVE_LINK,41711,48817
REMOVE_LINK,26147,9354
ADD_LINK,43576,4742
CHECK_CONNECTIVITY,18379,30942
REMOVE_LINK,31376,22935
CHECK_CONNECTIVITY,78350,15684
CHECK_CONNECTIVITY,7413,53663
REMOVE_LINK,12682,57265
REMOVE_LINK,62034,55577
CHECK_CONNECTIVITY,43001,35353
ADD_LINK,34038,12378
REMOVE_LINK,38199,80232
CHECK_CONNECTIVITY,45875,59505
CHECK_CONNECTIVITY,38356,52492
ADD_LINK,17877,58863
CHECK_CONNECTIVITY,61598,53361
REMOVE_LINK,69960,41009
REMOVE_LINK,32861,69946
REMOVE_LINK,51724,62245
CHECK_CONNECTIVITY,24645,37269
CHECK_CONNECTIVITY,61524,49202
REMOVE_LINK,65951,87221
REMOVE_LINK,52344,72871
ADD_LINK,44093,1911
CHECK_CONNECTIVITY,72695,36908
CHECK_CONNECTIVITY,60343,34148
ADD_LINK,17702,63563
ADD_LINK,34903,65469
CHECK_CONNECTIVITY,46018,82712
REMOVE_LINK,41148,54
CHECK_CONNECTIVITY,54017,5442
REMOVE_LINK,77328,17829
REMOVE_LINK,24911,44786
ADD_LINK,47206,34625
ADD_LINK,60519,9440
REMOVE_LINK,29432,39411
REMOVE_LINK,62971,59151
ADD_LINK,89483,37918
ADD_LINK,70147,82656
ADD_LINK,10471,69759
ADD_LINK,60728,55980
ADD_LINK,31575,68848
REMOVE_LINK,16049,67139
CHECK_CONNECTIVITY,9033,85979
CHECK_CONNECTIVITY,56811,5867
ADD_LINK,8979,20018
REMOVE_LINK,18580,24504
ADD_LINK,79875,20386
REMOVE_LINK,29516,4671
CHECK_CONNECTIVITY,76852,51549
REMOVE_LINK,10631,86620
ADD_LINK,5952,82724
REMOVE_LINK,15415,47290
REMOVE_LINK,8833,30772
ADD_LINK,3587,72805
CHECK_CONNECTIVITY,29790,35439
ADD_LINK,39587,39857
CHECK_CONNECTIVITY,76815,56361
CHECK_CONNECTIVITY,1664,39387
ADD_LINK,83185,38186
CHECK_CONNECTIVITY,29301,56589
ADD_LINK,73486,12395
REMOVE_LINK,41682,75145
CHECK_CONNECTIVITY,27651,56732
REMOVE_LINK,19393,26555
CHECK_CONNECTIVITY,88488,81930
CHECK_CONNECTIVITY,58562,27756
CHECK_CONNECTIVITY,34897,9156
ADD_LINK,41773,86738
REMOVE_LINK,33856,58450
CHECK_CONNECTIVITY,8316,39910
ADD_LINK,28044,27907
CHECK_CONNECTIVITY,52651,18519
REMOVE_LINK,64342,62372
ADD_LINK,35260,64531
CHECK_CONNECTIVITY,17086,65386
CHECK_CONNECTIVITY,80575,89630
CHECK_CONNECTIVITY,59381,78702
REMOVE_LINK,88081,37343
CHECK_CONNECTIVITY,54386,77611
REMOVE_LINK,44067,47287
CHECK_CONNECTIVITY,20984,43437
REMOVE_LINK,73993,84623
ADD_LINK,71164,25358
CHECK_CONNECTIVITY,81812,78041
REMOVE_LINK,57684,40562
ADD_LINK,43628,61906
CHECK_CONNECTIVITY,84350,76582
REMOVE_LINK,30875,36546
ADD_LINK,32651,14420
CHECK_CONNECTIVITY,4665,36890
CHECK_CONNECTIVITY,29350,892
REMOVE_LINK,45557,12616
CHECK_CONNECTIVITY,42277,35726
REMOVE_LINK,30938,23963
REMOVE_LINK,61998,45724
CHECK_CONNECTIVITY,30282,66063
REMOVE_LINK,75537,1521
REMOVE_LINK,39512,26280
ADD_LINK,13250,6533
ADD_LINK,76007,12390
ADD_LINK,89085,37080
REMOVE_LINK,2240,67760
CHECK_CONNECTIVITY,43002,74243
ADD_LINK,15115,28271
REMOVE_LINK,37150,54552
ADD_LINK,22428,84755
CHECK_CONNECTIVITY,40387,85105
ADD_LINK,53669,20796
REMOVE_LINK,83832,14014
CHECK_CONNECTIVITY,1221,15157
REMOVE_LINK,86196,3954
CHECK_CONNECTIVITY,88170,59841
ADD_LINK,54873,37469
ADD_LINK,74230,71174
CHECK_CONNECTIVITY,36901,73093
CHECK_CONNECTIVITY,69071,75680
CHECK_CONNECTIVITY,23646,6435
CHECK_CONNECTIVITY,1930,46645
CHECK_CONNECTIVITY,58347,44118
CHECK_CONNECTIVITY,50841,38506
REMOVE_LINK,66656,81737
ADD_LINK,52413,16322
REMOVE_LINK,79657,33366
CHECK_CONNECTIVITY,49993,89159
CHECK_CONNECTIVITY,11565,11269
CHECK_CONNECTIVITY,29322,58282
CHECK_CONNECTIVITY,1427,73774
CHECK_CONNECTIVITY,65533,46222
CHECK_CONNECTIVITY,48042,18973
CHECK_CONNECTIVITY,27776,87534
CHECK_CONNECTIVITY,15385,27383
CHECK_CONNECTIVITY,4583,45382
CHECK_CONNECTIVITY,89149,20221
CHECK_CONNECTIVITY,67782,10825
CHECK_CONNECTIVITY,88363,49515
CHECK_CONNECTIVITY,83813,27308
ADD_LINK,76802,69136
REMOVE_LINK,1638,62024
ADD_LINK,43566,28043
ADD_LINK,27861,77204
REMOVE_LINK,55846,31154
REMOVE_LINK,84146,32725
REMOVE_LINK,36810,10436
ADD_LINK,15944,68304
REMOVE_LINK,75529,82316
CHECK_CONNECTIVITY,36063,2274
ADD_LINK,43680,82169
CHECK_CONNECTIVITY,31915,32902
REMOVE_LINK,82926,26265
CHECK_CONNECTIVITY,21245,39920
REMOVE_LINK,9864,31973
ADD_LINK,43139,89699
ADD_LINK,71056,76058
CHECK_CONNECTIVITY,25071,82483
REMOVE_LINK,74394,13923
CHECK_CONNECTIVITY,19002,15038
REMOVE_LINK,68918,36756
ADD_LINK,57889,82475
CHECK_CONNECTIVITY,77832,16989
ADD_LINK,6150,70333
REMOVE_LINK,43595,12810
REMOVE_LINK,87508,9876
CHECK_CONNECTIVITY,15627,48741
CHECK_CONNECTIVITY,57524,437
CHECK_CONNECTIVITY,77510,5308
CHECK_CONNECTIVITY,18256,44661
REMOVE_LINK,41469,74475
ADD_LINK,17132,42031
CHECK_CONNECTIVITY,83518,52242
ADD_LINK,72798,56660
ADD_LINK,84556,23493
CHECK_CONNECTIVITY,64881,20375
REMOVE_LINK,14425,14038
CHECK_CONNECTIVITY,45259,47798
ADD_LINK,36190,19406
REMOVE_LINK,1762,81626
CHECK_CONNECTIVITY,57794,635
CHECK_CONNECTIVITY,55961,73049
ADD_LINK,60674,67334
CHECK_CONNECTIVITY,85975,19194
ADD_LINK,83259,87550
REMOVE_LINK,18012,28353
REMOVE_LINK,60013,70505
ADD_LINK,24270,74517
REMOVE_LINK,36716,5998
CHECK_CONNECTIVITY,47549,10589
ADD_LINK,51923,20577
CHECK_CONNECTIVITY,46894,396
REMOVE_LINK,16352,7059
ADD_LINK,39034,51534
ADD_LINK,41157,26371
CHECK_CONNECTIVITY,2764,51713
REMOVE_LINK,82799,31309
CHECK_CONNECTIVITY,1094,65498
ADD_LINK,51027,48641
ADD_LINK,27287,34894
REMOVE_LINK,20532,19334
REMOVE_LINK,11097,47276
CHECK_CONNECTIVITY,87720,72950
ADD_LINK,34901,32349
REMOVE_LINK,62368,57754
ADD_LINK,33557,28019
ADD_LINK,6611,53702
REMOVE_LINK,13509,52718
REMOVE_LINK,74900,88774
REMOVE_LINK,35808,52803
CHECK_CONNECTIVITY,28795,68685
CHECK_CONNECTIVITY,31779,39192
REMOVE_LINK,82697,72974
CHECK_CONNECTIVITY,65513,54235
REMOVE_LINK,35043,33309
ADD_LINK,73695,74695
REMOVE_LINK,12447,31371
REMOVE_LINK,72146,62185
ADD_LINK,25610,72573
REMOVE_LINK,26517,40959
ADD_LINK,31647,45400
ADD_LINK,55298,21676
REMOVE_LINK,49783,77005
CHECK_CONNECTIVITY,88398,68296
CHECK_CONNECTIVITY,29391,73305
REMOVE_LINK,5603,82795
REMOVE_LINK,47707,8545
REMOVE_LINK,29734,43693
CHECK_CONNECTIVITY,39763,52185
ADD_LINK,27145,84602
REMOVE_LINK,41880,52626
CHECK_CONNECTIVITY,52164,71524
CHECK_CONNECTIVITY,20324,10553
ADD_LINK,634,14765
CHECK_CONNECTIVITY,84051,65643
ADD_LINK,26025,26105
REMOVE_LINK,37134,22289
CHECK_CONNECTIVITY,30409,2249
ADD_LINK,63494,63320
CHECK_CONNECTIVITY,17108,34206
ADD_LINK,29851,9238
REMOVE_LINK,86983,35989
ADD_LINK,57657,19940
CHECK_CONNECTIVITY,84829,47924
CHECK_CONNECTIVITY,32482,59530
CHECK_CONNECTIVITY,9880,22144
CHECK_CONNECTIVITY,68576,51847
ADD_LINK,31193,50091
CHECK_CONNECTIVITY,34361,51630
REMOVE_LINK,18803,27024
ADD_LINK,37524,83293
ADD_LINK,33559,27642
REMOVE_LINK,68718,57794
ADD_LINK,63811,88282
ADD_LINK,73793,61721
CHECK_CONNECTIVITY,65491,38647
ADD_LINK,40816,29483
REMOVE_LINK,59642,10724
REMOVE_LINK,45991,63834
ADD_LINK,65413,20496
REMOVE_LINK,1408,36230
CHECK_CONNECTIVITY,85024,66731
CHECK_CONNECTIVITY,84780,30459
ADD_LINK,25234,68586
ADD_LINK,1330,36408
REMOVE_LINK,55024,65776
REMOVE_LINK,83113,81803
ADD_LINK,74733,65705
ADD_LINK,7706,62778
CHECK_CONNECTIVITY,88304,74745
CHECK_CONNECTIVITY,2333,7290
ADD_LINK,41538,30213
CHECK_CONNECTIVITY,31112,18274
CHECK_CONNECTIVITY,39507,59356
CHECK_CONNECTIVITY,10829,65632
ADD_LINK,50942,28078
CHECK_CONNECTIVITY,80019,85771
ADD_LINK,47092,74296
CHECK_CONNECTIVITY,74341,45274
CHECK_CONNECTIVITY,84765,18102
CHECK_CONNECTIVITY,36946,88220
ADD_LINK,12850,79130
ADD_LINK,63575,83041
CHECK_CONNECTIVITY,64773,82767
REMOVE_LINK,2799,12588
CHECK_CONNECTIVITY,9833,84337
CHECK_CONNECTIVITY,46338,56458
CHECK_CONNECTIVITY,60246,19170
REMOVE_LINK,31317,63528
CHECK_CONNECTIVITY,1627,10705
REMOVE_LINK,56515,6079
REMOVE_LINK,47021,16783
ADD_LINK,71874,1420
CHECK_CONNECTIVITY,58675,42361
REMOVE_LINK,14167,7343
ADD_LINK,24984,46673
CHECK_CONNECTIVITY,37003,3629
REMOVE_LINK,34397,37285
ADD_LINK,5981,7318
CHECK_CONNECTIVITY,88929,67648
REMOVE_LINK,77312,39344
CHECK_CONNECTIVITY,44631,33113
ADD_LINK,19148,49210
REMOVE_LINK,37236,54799
CHECK_CONNECTIVITY,20278,21374
REMOVE_LINK,37448,46463
ADD_LINK,562,18129
ADD_LINK,31892,42365
REMOVE_LINK,39060,56869
CHECK_CONNECTIVITY,16570,17523
REMOVE_LINK,28206,27654
REMOVE_LINK,53981,64598
ADD_LINK,30895,74730
ADD_LINK,54264,75971
ADD_LINK,31752,28816
REMOVE_LINK,77998,59421
ADD_LINK,7646,2895
CHECK_CONNECTIVITY,1003,66488
CHECK_CONNECTIVITY,25028,28167
REMOVE_LINK,55291,20455
REMOVE_LINK,63924,71895
REMOVE_LINK,72526,58658
ADD_LINK,86708,30439
CHECK_CONNECTIVITY,37509,54156
ADD_LINK,61664,19535
CHECK_CONNECTIVITY,39299,55363
CHECK_CONNECTIVITY,34432,30385
REMOVE_LINK,24644,25116
REMOVE_LINK,89816,23900
REMOVE_LINK,68399,25077
REMOVE_LINK,76422,36040
REMOVE_LINK,64743,33920
ADD_LINK,60035,59953
ADD_LINK,29739,88257
REMOVE_LINK,75399,70491
ADD_LINK,40449,27432
CHECK_CONNECTIVITY,24437,26990
CHECK_CONNECTIVITY,56310,32220
CHECK_CONNECTIVITY,49020,22682
ADD_LINK,78785,70593
ADD_LINK,37638,67242
REMOVE_LINK,50118,75114
ADD_LINK,13571,74573
REMOVE_LINK,62212,5824
REMOVE_LINK,30951,27540
CHECK_CONNECTIVITY,2145,40960
CHECK_CONNECTIVITY,67665,32248
REMOVE_LINK,13047,88263
ADD_LINK,551,7563
REMOVE_LINK,8605,3952
CHECK_CONNECTIVITY,57376,14358
REMOVE_LINK,58646,31080
ADD_LINK,72303,33386
CHECK_CONNECTIVITY,79948,83435
CHECK_CONNECTIVITY,24858,41110
ADD_LINK,62639,5384
ADD_LINK,74387,29402
REMOVE_LINK,50714,80852
CHECK_CONNECTIVITY,72429,16269
REMOVE_LINK,426,69554
CHECK_CONNECTIVITY,7718,23488
CHECK_CONNECTIVITY,14788,14701
CHECK_CONNECTIVITY,9662,40630
ADD_LINK,36259,28083
REMOVE_LINK,1675,63196
REMOVE_LINK,24340,40229
CHECK_CONNECTIVITY,15861,5820
ADD_LINK,54507,41295
CHECK_CONNECTIVITY,87949,10734
CHECK_CONNECTIVITY,5834,25575
REMOVE_LINK,33574,69209
ADD_LINK,89482,56918
ADD_LINK,42644,31845
ADD_LINK,55739,32348
ADD_LINK,8546,44961
REMOVE_LINK,54659,35701
REMOVE_LINK,54638,53234
ADD_LINK,12200,1010
ADD_LINK,18910,88965
ADD_LINK,72777,16227
REMOVE_LINK,86030,3088
ADD_LINK,27069,17388
ADD_LINK,74255,36576
CHECK_CONNECTIVITY,71310,27637
CHECK_CONNECTIVITY,41030,67233
ADD_LINK,59998,15026
CHECK_CONNECTIVITY,61392,57247
REMOVE_LINK,38526,54373
REMOVE_LINK,42112,60090
ADD_LINK,30915,4716
CHECK_CONNECTIVITY,26474,86658
REMOVE_LINK,4733,58712
CHECK_CONNECTIVITY,55009,38410
REMOVE_LINK,23365,51057
CHECK_CONNECTIVITY,36022,41690
ADD_LINK,28898,78109
REMOVE_LINK,73765,60853
CHECK_CONNECTIVITY,8276,74460
CHECK_CONNECTIVITY,44865,86539
CHECK_CONNECTIVITY,82245,13867
CHECK_CONNECTIVITY,65858,82303
CHECK_CONNECTIVITY,51425,44675
REMOVE_LINK,20413,38322
REMOVE_LINK,34228,37662
REMOVE_LINK,56323,34256
CHECK_CONNECTIVITY,50874,67127
CHECK_CONNECTIVITY,28669,73422
CHECK_CONNECTIVITY,54915,1962
CHECK_CONNECTIVITY,41690,52905
CHECK_CONNECTIVITY,7358,55267
CHECK_CONNECTIVITY,34031,19137
ADD_LINK,84391,5515
ADD_LINK,47261,79247
CHECK_CONNECTIVITY,83688,4238
REMOVE_LINK,87228,18968
CHECK_CONNECTIVITY,88305,2697
REMOVE_LINK,15834,81686
CHECK_CONNECTIVITY,71060,71432
CHECK_CONNECTIVITY,2176,23807
ADD_LINK,37144,52753
REMOVE_LINK,71581,55855
CHECK_CONNECTIVITY,38461,38409
ADD_LINK,83727,40117
REMOVE_LINK,41756,63340
REMOVE_LINK,54374,9611
REMOVE_LINK,56869,6751
ADD_LINK,87035,32296
REMOVE_LINK,42531,14117
ADD_LINK,46431,58253
ADD_LINK,71799,81765
CHECK_CONNECTIVITY,11130,61350
ADD_LINK,25358,11345
REMOVE_LINK,27220,88545
REMOVE_LINK,46970,73105
CHECK_CONNECTIVITY,62670,89256
REMOVE_LINK,13580,54958
CHECK_CONNECTIVITY,82402,28467
CHECK_CONNECTIVITY,21221,28850
REMOVE_LINK,33881,77059
REMOVE_LINK,58073,83287
CHECK_CONNECTIVITY,36872,71482
ADD_LINK,75003,71250
REMOVE_LINK,42488,5968
ADD_LINK,22938,84967
ADD_LINK,8791,47387
REMOVE_LINK,22592,15872
REMOVE_LINK,43144,41509
REMOVE_LINK,14751,46259
ADD_LINK,21061,3467
ADD_LINK,70924,82641
CHECK_CONNECTIVITY,53935,11079
CHECK_CONNECTIVITY,58321,53469
REMOVE_LINK,15268,29165
ADD_LINK,61662,59783
CHECK_CONNECTIVITY,15710,85434
